origin_id,dest_id,origin_name,dest_name,demand
1,8,Acton Town,Archway,0
1,9,Acton Town,Arnos Grove,1
1,10,Acton Town,Arsenal,0
1,11,Acton Town,Baker Street,0
1,12,Acton Town,Balham,1
1,13,Acton Town,Bank & Monument,1
1,16,Acton Town,Barkingside,0
1,17,Acton Town,Barons Court,2
1,22,Acton Town,Belsize Park,0
1,24,Acton Town,Bethnal Green,0
1,26,Acton Town,Blackhorse Road,0
1,28,Acton Town,Bond Street,0
1,30,Acton Town,Boston Manor,2
1,31,Acton Town,Bounds Green,1
1,34,Acton Town,Brent Cross,0
1,37,Acton Town,Buckhurst Hill,0
1,38,Acton Town,Burnt Oak,0
1,39,Acton Town,Caledonian Road,1
1,40,Acton Town,Camden Town,0
1,45,Acton Town,Canons Park,0
1,47,Acton Town,Chalk Farm,0
1,48,Acton Town,Chancery Lane,0
1,87,Acton Town,Embankment,2
1,54,Acton Town,Clapham Common,0
1,55,Acton Town,Clapham North,0
1,56,Acton Town,Clapham South,0
1,57,Acton Town,Cockfosters,0
1,58,Acton Town,Colindale,0
1,59,Acton Town,Colliers Wood,0
1,60,Acton Town,Covent Garden,1
1,71,Acton Town,Dollis Hill,0
1,72,Acton Town,Ealing Broadway,6
1,74,Acton Town,Earl's Court,4
1,76,Acton Town,East Acton,0
1,77,Acton Town,East Finchley,0
1,81,Acton Town,Edgware,0
1,89,Acton Town,Euston,1
1,91,Acton Town,Fairlop,0
1,93,Acton Town,Finchley Central,0
1,94,Acton Town,Finchley Road,0
1,95,Acton Town,Finsbury Park,1
1,98,Acton Town,Gants Hill,0
1,99,Acton Town,Gloucester Road,2
1,100,Acton Town,Golders Green,0
1,102,Acton Town,Goodge Street,0
1,107,Acton Town,Green Park,1
1,109,Acton Town,Hainault,0
1,110,Acton Town,Hammersmith,14
1,111,Acton Town,Hampstead,0
1,119,Acton Town,Hendon Central,0
1,121,Acton Town,High Barnet,0
1,123,Acton Town,Highbury & Islington,1
1,124,Acton Town,Highgate,0
1,126,Acton Town,Holborn,0
1,127,Acton Town,Holland Park,0
1,128,Acton Town,Holloway Road,1
1,130,Acton Town,Hounslow Central,6
1,131,Acton Town,Hounslow East,11
1,132,Acton Town,Hounslow West,10
1,133,Acton Town,Hyde Park Corner,1
1,136,Acton Town,Kennington,0
1,139,Acton Town,Kentish Town,0
1,142,Acton Town,Kilburn,0
1,144,Acton Town,Kingsbury,0
1,145,Acton Town,King's Cross St. Pancras,3
1,146,Acton Town,Knightsbridge,1
1,149,Acton Town,Lancaster Gate,0
1,151,Acton Town,Leicester Square,2
1,153,Acton Town,Leyton,0
1,154,Acton Town,Leytonstone,1
1,156,Acton Town,Liverpool Street,1
1,157,Acton Town,London Bridge,3
1,158,Acton Town,Loughton,0
1,160,Acton Town,Manor House,1
1,162,Acton Town,Marble Arch,0
1,164,Acton Town,Mile End,0
1,169,Acton Town,Morden,0
1,170,Acton Town,Mornington Crescent,0
1,172,Acton Town,Neasden,0
1,173,Acton Town,Newbury Park,0
1,181,Acton Town,North Acton,0
1,176,Acton Town,Northfields,2
1,186,Acton Town,Notting Hill Gate,0
1,187,Acton Town,Oakwood,0
1,190,Acton Town,Osterley,3
1,191,Acton Town,Oval,0
1,192,Acton Town,Oxford Circus,0
1,197,Acton Town,Piccadilly Circus,2
1,207,Acton Town,Queensbury,0
1,208,Acton Town,Queensway,0
1,211,Acton Town,Redbridge,0
1,223,Acton Town,Russell Square,0
1,249,Acton Town,St. John's Wood,0
1,250,Acton Town,St. Paul's,0
1,224,Acton Town,Seven Sisters,1
1,226,Acton Town,Shepherd's Bush,0
1,230,Acton Town,Snaresbrook,0
1,234,Acton Town,South Ealing,3
1,232,Acton Town,Southgate,0
1,236,Acton Town,South Kensington,2
1,240,Acton Town,South Wimbledon,0
1,241,Acton Town,South Woodford,0
1,243,Acton Town,Stanmore,0
1,245,Acton Town,Stockwell,1
1,49,Acton Town,Charing Cross,0
1,247,Acton Town,Stratford,2
1,254,Acton Town,Swiss Cottage,0
1,257,Acton Town,Tooting Bec,0
1,258,Acton Town,Tooting Broadway,0
1,259,Acton Town,Tottenham Court Road,0
1,260,Acton Town,Tottenham Hale,1
1,261,Acton Town,Totteridge & Whetstone,0
1,264,Acton Town,Tufnell Park,0
1,266,Acton Town,Turnpike Lane,1
1,273,Acton Town,Victoria,3
1,274,Acton Town,Walthamstow Central,1
1,275,Acton Town,Wanstead,0
1,277,Acton Town,Warren Street,0
1,279,Acton Town,Waterloo,0
1,282,Acton Town,Wembley Park,0
1,286,Acton Town,West Acton,0
1,288,Acton Town,West Finchley,0
1,289,Acton Town,West Ham,0
1,290,Acton Town,West Hampstead,0
1,285,Acton Town,Westminster,0
1,296,Acton Town,White City,0
1,297,Acton Town,Willesden Green,0
1,301,Acton Town,Woodford,0
1,303,Acton Town,Wood Green,1
1,302,Acton Town,Woodside Park,0
1,198,Acton Town,Pimlico,1
1,272,Acton Town,Vauxhall,1
1,35,Acton Town,Brixton,1
1,116,Acton Town,Hatton Cross,4
1,117,Acton Town,Heathrow Terminals 123,2
1,118,Acton Town,Heathrow Terminal 4,0
1,233,Acton Town,Southwark,0
1,23,Acton Town,Bermondsey,0
1,41,Acton Town,Canada Water,2
1,183,Acton Town,North Greenwich,1
1,42,Acton Town,Canary Wharf,0
1,43,Acton Town,Canning Town,1
8,1,Archway,Acton Town,0
8,8,Archway,Archway,0
8,9,Archway,Arnos Grove,0
8,10,Archway,Arsenal,0
8,11,Archway,Baker Street,1
8,12,Archway,Balham LU,2
8,13,Archway,Bank and Monument,7
8,16,Archway,Barkingside,0
8,17,Archway,Barons Court,1
